amount,time,location,device,is_fraud
4.17,8.1,Зарубежье,Банкомат,1
99.05,15.8,Онлайн,ПК,0
3.41,17.2,Банкомат,Банкомат,0
10.13,13.4,Москва,ПК,0
18.99,1.4,Онлайн,Банкомат,0
80.27,4.1,Москва,Терминал,0
3.39,6.8,Санкт-Петербург,ПК,0
59.11,6.8,Москва,ПК,0
16.63,16.2,Санкт-Петербург,ПК,0
5.59,0.4,Москва,Банкомат,0
27.34,18.1,Онлайн,Банкомат,0
20.47,6.4,Санкт-Петербург,Смартфон,0
8.5,7.4,Банкомат,ПК,0
17.76,12.7,Онлайн,Банкомат,0
10.76,5.2,Москва,ПК,0
18.63,21.2,Москва,ПК,0
34.07,2.0,Банкомат,Смартфон,0
94.12,10.7,Санкт-Петербург,Смартфон,1
4.21,20.4,Санкт-Петербург,Банкомат,0
171.8,14.8,Онлайн,Терминал,0
1.92,7.0,Москва,Смартфон,0
13.92,10.1,Москва,ПК,1
31.41,17.0,Санкт-Петербург,Банкомат,0
22.4,23.4,Москва,Банкомат,0
8.29,21.4,Москва,ПК,0
13.08,8.2,Москва,Смартфон,0
9.56,24.0,Москва,ПК,0
8.6,0.1,Москва,Банкомат,0
41.87,0.7,Зарубежье,ПК,0
24.35,19.8,Санкт-Петербург,Банкомат,0
7.67,4.8,Онлайн,Смартфон,0
44.24,1.5,Москва,Терминал,0
23.06,5.7,Москва,Банкомат,0
40.21,10.2,Банкомат,ПК,0
32.87,17.5,Онлайн,Терминал,0
6.61,15.0,Москва,Терминал,0
8.88,5.7,Санкт-Петербург,Банкомат,0
37.41,12.1,Санкт-Петербург,ПК,0
32.18,22.2,Банкомат,ПК,0
16.07,19.6,Москва,Смартфон,0
18.71,7.8,Санкт-Петербург,Смартфон,0
67.05,23.6,Онлайн,ПК,0
8.58,17.0,Зарубежье,ПК,0
30.02,1.5,Банкомат,Смартфон,0
13.17,0.8,Москва,Терминал,0
12.94,4.0,Онлайн,ПК,0
55.07,17.5,Онлайн,ПК,0
40.77,4.4,Онлайн,Смартфон,0
40.24,12.3,Банкомат,Смартфон,0
69.13,2.2,Банкомат,Банкомат,0
16.83,22.1,Москва,Смартфон,0
34.82,8.3,Москва,ПК,0
11.69,21.8,Онлайн,ПК,0
23.49,22.7,Москва,ПК,1
14.25,0.1,Москва,ПК,0
18.3,11.1,Санкт-Петербург,Смартфон,0
31.65,0.6,Банкомат,Смартфон,1
6.69,21.8,Москва,ПК,0
164.29,12.4,Онлайн,Банкомат,0
5.44,1.8,Москва,Смартфон,1
4.32,2.6,Москва,Смартфон,1
58.79,9.2,Санкт-Петербург,Смартфон,0
39.28,22.6,Москва,ПК,0
32.67,16.6,Банкомат,Смартфон,0
32.82,20.8,Банкомат,Смартфон,0
16.22,8.8,Онлайн,ПК,0
6.13,1.0,Москва,Смартфон,0
17.87,23.4,Санкт-Петербург,ПК,0
7.81,0.4,Москва,Смартфон,0
48.07,22.7,Москва,Терминал,0
13.99,8.8,Санкт-Петербург,Смартфон,0
6.63,0.2,Онлайн,Смартфон,0
11.55,16.5,Москва,Терминал,1
25.9,23.5,Москва,Смартфон,0
8.85,23.2,Зарубежье,ПК,0
6.66,3.9,Санкт-Петербург,Смартфон,0
21.5,4.3,Зарубежье,Смартфон,1
21.53,13.6,Зарубежье,ПК,0
9.42,15.3,Санкт-Петербург,Терминал,0
9.79,17.7,Москва,ПК,0
21.23,4.3,Онлайн,ПК,0
3.34,23.0,Москва,ПК,0
3.5,15.3,Москва,Смартфон,0
7.46,20.3,Онлайн,ПК,0
13.0,13.0,Санкт-Петербург,Смартфон,0
23.15,9.9,Москва,Смартфон,0
83.34,23.5,Онлайн,Смартфон,0
42.24,14.0,Онлайн,Банкомат,0
13.79,20.8,Москва,Смартфон,0
16.1,22.9,Москва,ПК,1
5.46,16.2,Москва,Смартфон,0
16.11,13.2,Санкт-Петербург,Смартфон,1
11.97,0.1,Онлайн,ПК,0
23.45,1.0,Онлайн,Банкомат,0
6.62,4.8,Онлайн,ПК,0
29.12,4.5,Москва,Смартфон,0
88.77,6.1,Москва,Терминал,0
14.59,7.3,Москва,Смартфон,0
25.58,8.6,Москва,ПК,0
35.13,10.1,Москва,ПК,0
10.58,2.4,Санкт-Петербург,ПК,0
21.04,1.0,Москва,Терминал,1
16.67,16.2,Онлайн,ПК,0
18.31,12.9,Онлайн,Смартфон,0
7.03,10.7,Санкт-Петербург,Смартфон,0
16.89,15.2,Москва,Смартфон,0
28.44,19.9,Банкомат,Смартфон,0
81.15,10.3,Зарубежье,Терминал,0
47.24,15.4,Москва,Смартфон,0
175.65,22.9,Онлайн,ПК,0
7.07,20.2,Банкомат,ПК,0
42.93,10.2,Санкт-Петербург,Банкомат,0
20.12,15.5,Москва,ПК,0
182.87,4.2,Санкт-Петербург,ПК,0
6.76,13.5,Санкт-Петербург,Смартфон,1
6.53,23.6,Санкт-Петербург,ПК,0
8.51,12.4,Зарубежье,Смартфон,0
1.59,22.3,Онлайн,Терминал,1
9.22,9.8,Москва,Смартфон,0
7.13,24.0,Санкт-Петербург,Смартфон,0
19.4,13.9,Онлайн,ПК,0
23.95,1.0,Москва,Банкомат,0
129.51,14.1,Санкт-Петербург,ПК,0
46.78,6.6,Банкомат,Смартфон,0
8.72,0.8,Санкт-Петербург,Смартфон,0
6.12,19.7,Москва,Смартфон,0
28.25,6.6,Москва,ПК,0
3.85,19.1,Санкт-Петербург,ПК,0
123.3,6.9,Санкт-Петербург,Смартфон,1
60.18,4.7,Москва,ПК,0
9.81,23.4,Онлайн,Смартфон,1
2.5,8.7,Москва,Терминал,0
72.91,14.4,Москва,Смартфон,0
14.5,14.6,Санкт-Петербург,ПК,0
64.17,13.5,Москва,ПК,0
2.85,22.0,Банкомат,Смартфон,0
8.51,16.2,Москва,Смартфон,0
16.54,9.7,Онлайн,Смартфон,0
17.32,20.7,Санкт-Петербург,Смартфон,0
10.02,4.3,Санкт-Петербург,ПК,0
32.63,13.1,Онлайн,Смартфон,0
5.08,22.8,Санкт-Петербург,Смартфон,1
14.06,15.0,Онлайн,Смартфон,0
18.77,19.6,Санкт-Петербург,Смартфон,0
28.96,15.7,Санкт-Петербург,Смартфон,0
35.97,20.1,Онлайн,Смартфон,1
4.77,22.7,Онлайн,ПК,0
3.04,6.6,Онлайн,ПК,0
67.05,4.1,Онлайн,Терминал,0
23.7,11.6,Зарубежье,Смартфон,0
7.22,16.8,Санкт-Петербург,Смартфон,0
90.58,5.5,Санкт-Петербург,Смартфон,1
18.68,0.1,Москва,ПК,1
60.17,8.2,Санкт-Петербург,ПК,0
17.71,23.3,Санкт-Петербург,Смартфон,0
158.67,16.7,Банкомат,Банкомат,0
113.39,9.6,Санкт-Петербург,ПК,0
12.51,4.6,Онлайн,Терминал,0
47.88,8.5,Москва,Смартфон,0
33.45,4.1,Санкт-Петербург,Смартфон,0
74.11,2.6,Банкомат,Смартфон,0
5.69,21.8,Москва,Смартфон,0
34.98,23.9,Москва,Терминал,0
52.68,3.9,Санкт-Петербург,Смартфон,0
2.38,1.3,Онлайн,ПК,0
4.47,7.9,Санкт-Петербург,Смартфон,0
1.75,11.1,Санкт-Петербург,Смартфон,0
12.23,4.9,Онлайн,Смартфон,0
36.21,7.2,Москва,Смартфон,0
85.85,4.8,Онлайн,ПК,0
17.84,18.6,Москва,Терминал,0
98.64,17.1,Санкт-Петербург,ПК,0
3.6,15.2,Онлайн,ПК,0
2.53,9.3,Банкомат,Смартфон,0
15.47,21.8,Онлайн,Банкомат,0
25.09,23.3,Онлайн,Смартфон,1
15.86,4.2,Санкт-Петербург,Терминал,0
1.69,5.4,Москва,ПК,0
14.91,12.6,Москва,Смартфон,0
3.92,2.2,Банкомат,ПК,0
34.35,10.5,Банкомат,Терминал,0
24.61,14.0,Зарубежье,Смартфон,0
5.85,12.5,Москва,Смартфон,0
9.34,7.9,Санкт-Петербург,Смартфон,0
5.13,13.0,Онлайн,ПК,0
15.35,23.0,Онлайн,Смартфон,0
47.02,4.9,Онлайн,Банкомат,0
5.56,15.7,Онлайн,Терминал,0
28.63,1.0,Санкт-Петербург,Терминал,0
9.18,1.6,Москва,Смартфон,0
6.87,13.2,Москва,ПК,0
14.62,2.5,Москва,Смартфон,0
5.27,0.5,Санкт-Петербург,ПК,0
8.94,4.1,Москва,Банкомат,0
4.4,13.6,Москва,ПК,0
142.76,16.9,Онлайн,Банкомат,0
17.1,4.9,Банкомат,Банкомат,0
7.62,16.0,Банкомат,Смартфон,0
20.81,4.4,Москва,ПК,1
14.53,14.7,Москва,Смартфон,0
12.9,9.9,Москва,Смартфон,0
32.32,15.7,Зарубежье,Смартфон,0
37.84,23.9,Санкт-Петербург,Терминал,0
9.17,22.5,Москва,Смартфон,0
8.73,0.1,Банкомат,ПК,0
12.15,21.3,Санкт-Петербург,ПК,0
1.31,1.6,Банкомат,Банкомат,0
3.11,22.9,Москва,ПК,0
73.96,6.8,Санкт-Петербург,Смартфон,0
100.43,9.2,Санкт-Петербург,ПК,0
12.5,2.2,Банкомат,ПК,0
31.01,2.7,Банкомат,ПК,0
23.16,17.4,Санкт-Петербург,Смартфон,0
486.27,22.7,Москва,Смартфон,0
56.35,14.7,Санкт-Петербург,Терминал,0
14.29,17.2,Зарубежье,Смартфон,1
5.75,18.3,Онлайн,Смартфон,0
2.81,6.3,Онлайн,Смартфон,0
20.57,1.1,Санкт-Петербург,Смартфон,0
7.16,0.0,Санкт-Петербург,Смартфон,0
3.44,8.4,Санкт-Петербург,ПК,0
8.07,5.8,Онлайн,Терминал,0
5.0,1.5,Банкомат,Смартфон,0
105.2,4.3,Санкт-Петербург,Смартфон,0
43.37,3.0,Санкт-Петербург,ПК,1
16.3,22.0,Москва,Смартфон,0
83.76,3.4,Москва,Терминал,1
17.91,12.9,Зарубежье,Смартфон,0
6.38,14.2,Москва,ПК,0
87.83,13.0,Банкомат,ПК,0
29.75,2.4,Онлайн,Банкомат,1
5.25,7.7,Онлайн,ПК,0
13.34,1.2,Зарубежье,Смартфон,0
6.28,9.5,Онлайн,Смартфон,0
3.59,4.5,Банкомат,Терминал,1
45.55,13.5,Москва,Банкомат,0
134.34,16.6,Онлайн,Смартфон,0
3.53,12.8,Онлайн,Банкомат,0
30.55,10.4,Москва,ПК,0
8.04,9.3,Онлайн,ПК,1
9.62,20.2,Онлайн,Смартфон,0
8.57,5.3,Банкомат,Банкомат,0
6.36,17.6,Москва,Смартфон,0
17.35,18.2,Онлайн,ПК,0
6.59,10.1,Москва,Смартфон,0
22.14,7.1,Онлайн,Банкомат,0
15.56,11.3,Санкт-Петербург,Смартфон,0
12.64,2.2,Санкт-Петербург,Смартфон,1
6.06,1.1,Санкт-Петербург,Смартфон,0
8.72,2.7,Москва,Смартфон,0
37.75,4.5,Москва,ПК,0
28.53,12.1,Москва,Смартфон,0
5.61,20.4,Онлайн,Терминал,0
18.34,5.7,Банкомат,ПК,1
37.58,22.4,Москва,ПК,0
2.62,22.9,Москва,Смартфон,0
29.9,23.0,Санкт-Петербург,Смартфон,0
7.93,20.1,Онлайн,Смартфон,0
30.8,8.7,Москва,Банкомат,0
7.1,1.7,Москва,Смартфон,0
2.26,13.7,Москва,Банкомат,0
2.74,13.4,Санкт-Петербург,Смартфон,0
17.34,20.4,Москва,Терминал,0
21.88,23.9,Санкт-Петербург,Смартфон,0
6.08,12.2,Онлайн,Смартфон,0
33.2,8.3,Онлайн,ПК,0
2.64,4.5,Москва,Терминал,0
15.29,0.1,Онлайн,ПК,0
4.34,12.2,Санкт-Петербург,Смартфон,0
8.03,13.3,Зарубежье,ПК,0
17.32,19.8,Москва,Терминал,0
6.38,12.1,Онлайн,Смартфон,1
10.77,22.0,Онлайн,Смартфон,0
49.75,15.1,Москва,Банкомат,0
8.72,20.2,Банкомат,Банкомат,0
41.23,3.6,Санкт-Петербург,ПК,0
4.75,20.5,Онлайн,Терминал,0
29.45,16.2,Москва,Смартфон,0
80.3,4.1,Москва,ПК,0
1.08,4.6,Санкт-Петербург,ПК,0
6.84,22.2,Москва,ПК,0
31.02,0.8,Санкт-Петербург,Банкомат,0
13.15,11.1,Санкт-Петербург,Терминал,0
24.74,7.5,Онлайн,Смартфон,1
8.46,16.0,Санкт-Петербург,Смартфон,0
18.09,20.2,Москва,Смартфон,0
13.86,8.6,Онлайн,ПК,0
59.42,10.2,Санкт-Петербург,Смартфон,0
21.76,23.6,Москва,Банкомат,0
23.84,18.8,Москва,Смартфон,0
10.45,21.5,Москва,Смартфон,0
9.62,10.5,Москва,ПК,0
10.22,5.6,Зарубежье,ПК,0
25.38,9.9,Санкт-Петербург,Смартфон,0
10.35,17.2,Москва,ПК,0
22.62,2.6,Москва,Смартфон,0
161.25,6.5,Москва,Смартфон,0
42.87,1.1,Санкт-Петербург,Смартфон,1
11.49,10.4,Москва,ПК,0
61.64,19.9,Санкт-Петербург,Смартфон,0
10.5,0.6,Санкт-Петербург,Терминал,0
1.75,16.2,Банкомат,ПК,0
5.43,22.4,Москва,Смартфон,1
2.1,5.7,Санкт-Петербург,Смартфон,0
11.17,16.6,Онлайн,Смартфон,0
16.78,23.4,Санкт-Петербург,ПК,0
103.97,23.1,Онлайн,ПК,0
23.56,5.6,Онлайн,Банкомат,0
12.92,2.4,Санкт-Петербург,Смартфон,0
40.95,3.6,Санкт-Петербург,Смартфон,0
1.44,16.8,Зарубежье,Смартфон,0
21.31,17.4,Онлайн,Смартфон,0
38.4,16.2,Банкомат,Смартфон,0
3.23,8.1,Москва,Терминал,0
57.87,4.1,Санкт-Петербург,ПК,0
23.86,13.9,Банкомат,Банкомат,0
10.41,11.6,Москва,Смартфон,0
32.99,17.5,Зарубежье,Смартфон,1
199.89,10.6,Москва,Смартфон,0
20.09,8.1,Банкомат,Смартфон,0
21.61,7.0,Санкт-Петербург,ПК,0
9.92,5.1,Москва,Смартфон,0
6.46,6.4,Банкомат,Банкомат,0
40.99,2.3,Москва,Терминал,0
6.41,8.3,Москва,Смартфон,0
17.79,0.9,Москва,ПК,0
9.72,4.5,Онлайн,ПК,0
27.85,17.9,Зарубежье,Смартфон,0
23.74,7.8,Москва,Терминал,0
51.49,16.0,Санкт-Петербург,Смартфон,0
9.38,17.2,Москва,ПК,0
12.22,13.9,Онлайн,Смартфон,0
5.6,23.0,Москва,Смартфон,0
10.09,0.5,Москва,ПК,0
24.9,17.7,Москва,Банкомат,0
37.81,23.0,Санкт-Петербург,Смартфон,0
5.96,20.7,Банкомат,Смартфон,0
42.8,4.0,Санкт-Петербург,Смартфон,0
73.05,7.8,Москва,Смартфон,0
25.91,4.1,Санкт-Петербург,ПК,0
129.6,14.4,Онлайн,Банкомат,0
7.02,17.1,Москва,Банкомат,0
4.18,7.6,Москва,ПК,0
2.32,12.9,Москва,Терминал,0
85.26,16.6,Онлайн,ПК,0
33.78,10.1,Санкт-Петербург,Терминал,0
15.47,20.5,Санкт-Петербург,Смартфон,0
22.38,18.5,Москва,ПК,0
4.77,1.6,Москва,Терминал,0
242.34,14.9,Зарубежье,ПК,0
18.96,5.6,Москва,Банкомат,0
18.55,13.4,Банкомат,Смартфон,0
36.54,23.0,Санкт-Петербург,Банкомат,0
27.91,21.1,Москва,ПК,0
21.04,9.7,Санкт-Петербург,Смартфон,0
6.89,7.0,Зарубежье,Смартфон,0
27.62,5.6,Санкт-Петербург,Смартфон,0
130.35,12.8,Банкомат,Терминал,0
72.24,2.7,Москва,ПК,0
94.87,13.2,Санкт-Петербург,Терминал,0
9.37,0.0,Банкомат,Смартфон,1
5.54,7.8,Зарубежье,Терминал,0
14.32,5.3,Санкт-Петербург,ПК,0
17.48,23.3,Онлайн,Смартфон,0
54.8,17.5,Москва,Смартфон,1
2.56,8.4,Москва,Терминал,0
88.46,2.2,Москва,Смартфон,0
13.82,12.4,Москва,Смартфон,0
10.28,5.1,Москва,Смартфон,0
5.4,12.9,Москва,Смартфон,0
2.66,20.0,Зарубежье,Банкомат,0
40.67,14.8,Онлайн,ПК,0
17.83,15.2,Санкт-Петербург,ПК,0
3.98,13.0,Зарубежье,Терминал,0
3.96,22.3,Москва,ПК,0
11.37,22.4,Санкт-Петербург,Банкомат,1
103.12,12.3,Онлайн,Смартфон,0
12.36,7.3,Москва,Терминал,0
3.15,11.0,Онлайн,Смартфон,0
12.55,4.5,Москва,ПК,0
12.18,15.3,Москва,ПК,0
0.85,12.0,Москва,Смартфон,0
